"BACKEND_MODULE_TITLE";"Backend Module / Store Management"
"BACKEND_LAYOUT_HEADER";"Backend Module Layout"
"BACKEND_AUTH_REQUIRED";"Authorization Required"
"USERNAME";"Username"
"PASSWORD";"Password"
"LOGIN_BUTTON";"Sign In"
"STOREFRONT_HEADER";"Storefront Module"
"STOREFRONT_LOGIN_HEADER";"Sign in here"
"TRANSLATE_SAMPLE_STRING";"Some Translated String"
"404_LINE_1";"Unfortunately the page you are looking for does not exist."
"404_LINE_2";"This may have been caused by one of the following"
"404_REASON_1";"If you typed the URL in manually, you may have made a minor mistake when typing in in, check the URL and try again."
"404_REASON_2";"If you were linked to this site from another page, they may have gotten the link wrong or the linked page may no longer exists."
"404_REASON_3";"The page may have moved, you may find it elsewhere on the site."
"500_LINE_1";"There was a temporary problem on the server."
"500_LINE_2";"We are working to resolve this issue.  Please try again shortly."
"UNKNOWN_ERROR";"An unknown error has occured."